DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
211706865,2021-03-24 00:00:00,2021-03-24 00:00:00,1730,17,Devonshire,1701,2,624,BATTERY - SIMPLE ASSAULT,0602 0913 2002 0448 0552,18,F,O,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,624.0,,,,20200    SORRENTO                     LN,,34.2773,-118.578
220209638,2022-05-02 00:00:00,2022-04-30 00:00:00,1600,2,Rampart,271,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,JAMES M WOOD                 BL,CARONDELET                   ST,34.0553,-118.283
210616362,2021-09-23 00:00:00,2021-09-22 00:00:00,735,6,Hollywood,644,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1822,37,M,O,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,341.0,,,,SUNSET,ALTA VISTA,34.098,-118.3471
230408537,2023-05-18 00:00:00,2023-03-01 00:00:00,1,4,Hollenbeck,448,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0443,36,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511.0,VERBAL THREAT,IC,Invest Cont,930.0,,,,2800    LANCASTER                    AV,,34.0574,-118.194
231012470,2023-08-11 00:00:00,2023-08-11 00:00:00,400,10,West Valley,1097,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0400 0416 0913 1814,42,F,O,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,4700    WHITE OAK                    AV,,34.1413,-118.506
201216666,2020-07-17 00:00:00,2020-07-05 00:00:00,2000,12,77th Street,1243,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0342 0913 0522 1258 1202,10,M,B,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,812.0,,,,6400    HAAS                         AV,,33.98,-118.3168
211207799,2021-02-26 00:00:00,2021-02-26 00:00:00,1315,12,77th Street,1259,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 0394 1822,46,F,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,341.0,,,,600 E  76TH                         ST,,33.9712,-118.2652
221016873,2022-11-23 00:00:00,2022-11-23 00:00:00,1550,10,West Valley,1079,2,624,BATTERY - SIMPLE ASSAULT,0913 0603 0400 0446 1202,69,M,W,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,15700    HARTSOOK                     ST,,34.164,-118.4749
231107252,2023-03-28 00:00:00,2023-03-28 00:00:00,1715,11,Northeast,1144,1,330,BURGLARY FROM VEHICLE,1300 0344 1822 0321 0329 1307,23,M,W,101.0,STREET,,,IC,Invest Cont,330.0,,,,2600    LAKE VIEW                    TR,,34.1037,-118.2628
230807423,2023-03-20 00:00:00,2023-03-19 00:00:00,1619,8,West LA,861,1,330,BURGLARY FROM VEHICLE,0358 1307 0321 1822 1302,35,M,W,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,17300    PACIFIC COAST                HY,,34.0385,-118.556
